91422854945	clippy production surfaces	completed	success	https://github.com/rogertqq-code/bank-statement-fidelity-editor/actions/runs/30720299347/job/91422854945
91422854961	base state (macos-14)	completed	success	https://github.com/rogertqq-code/bank-statement-fidelity-editor/actions/runs/30720299347/job/91422854961
91422854965	base state (windows-latest)	completed	success	https://github.com/rogertqq-code/bank-statement-fidelity-editor/actions/runs/30720299347/job/91422854965
91422854972	optional PyMuPDF Pro import (macos-14)	completed	success	https://github.com/rogertqq-code/bank-statement-fidelity-editor/actions/runs/30720299347/job/91422854972
91422854975	base state (ubuntu-latest)	completed	success	https://github.com/rogertqq-code/bank-statement-fidelity-editor/actions/runs/30720299347/job/91422854975
91422854978	optional PyMuPDF Pro import (windows-latest)	completed	success	https://github.com/rogertqq-code/bank-statement-fidelity-editor/actions/runs/30720299347/job/91422854978
91422854997	rustfmt	completed	success	https://github.com/rogertqq-code/bank-statement-fidelity-editor/actions/runs/30720299347/job/91422854997
91422855001	deferred hardening inventory	completed	failure	https://github.com/rogertqq-code/bank-statement-fidelity-editor/actions/runs/30720299347/job/91422855001
91423306039	P0 integrity regressions (ubuntu-latest)	completed	success	https://github.com/rogertqq-code/bank-statement-fidelity-editor/actions/runs/30720299347/job/91423306039
91423306040	P0 integrity regressions (macos-14)	completed	success	https://github.com/rogertqq-code/bank-statement-fidelity-editor/actions/runs/30720299347/job/91423306040
91423306041	P0 integrity regressions (windows-latest)	completed	success	https://github.com/rogertqq-code/bank-statement-fidelity-editor/actions/runs/30720299347/job/91423306041
